ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,13
1,FIAS_FZJ-Epi1Ger,2,13
1,IEM_Health-CovidProject,3,13
1,ILM-EKF,4,13
1,ITWW-county_repro,5,13
1,Karlen-pypm,6,13
1,MIT_CovidAnalytics-DELPHI,7,13
1,RobertWalraven-ESG,8,13
1,epiforecasts-EpiExpert,9,13
1,epiforecasts-EpiNow2,10,13
1,itwm-dSEIR,11,13
1,UMass-MechBayes,12,13
1,epiforecasts-EpiExpert_Rt,13,13
2,EuroCOVIDhub-baseline,1,13
2,FIAS_FZJ-Epi1Ger,2,13
2,IEM_Health-CovidProject,3,13
2,ILM-EKF,4,13
2,ITWW-county_repro,5,13
2,Karlen-pypm,6,13
2,MIT_CovidAnalytics-DELPHI,7,13
2,RobertWalraven-ESG,8,13
2,epiforecasts-EpiExpert,9,13
2,epiforecasts-EpiNow2,10,13
2,itwm-dSEIR,11,13
2,UMass-MechBayes,12,13
2,HZI-AgeExtendedSEIR,13,13
3,EuroCOVIDhub-baseline,1,13
3,FIAS_FZJ-Epi1Ger,2,13
3,IEM_Health-CovidProject,3,13
3,ILM-EKF,4,13
3,ITWW-county_repro,5,13
3,Karlen-pypm,6,13
3,MIT_CovidAnalytics-DELPHI,7,13
3,RobertWalraven-ESG,8,13
3,epiforecasts-EpiExpert,9,13
3,epiforecasts-EpiNow2,10,13
3,itwm-dSEIR,11,13
3,UMass-MechBayes,12,13
3,epiforecasts-EpiExpert_direct,13,13
5,EuroCOVIDhub-baseline,1,13
5,FIAS_FZJ-Epi1Ger,2,13
5,IEM_Health-CovidProject,3,13
5,ILM-EKF,4,13
5,ITWW-county_repro,5,13
5,Karlen-pypm,6,13
5,MIT_CovidAnalytics-DELPHI,7,13
5,RobertWalraven-ESG,8,13
5,epiforecasts-EpiExpert,9,13
5,epiforecasts-EpiNow2,10,13
5,itwm-dSEIR,11,13
5,epiforecasts-EpiExpert_Rt,12,13
5,HZI-AgeExtendedSEIR,13,13
6,EuroCOVIDhub-baseline,1,13
6,FIAS_FZJ-Epi1Ger,2,13
6,IEM_Health-CovidProject,3,13
6,ILM-EKF,4,13
6,ITWW-county_repro,5,13
