ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,6
1,IEM_Health-CovidProject,2,6
1,ILM-EKF,3,6
1,MUNI_DMS-SEIAR,4,6
1,epiforecasts-EpiNow2,5,6
1,MUNI-ARIMA,6,6
2,EuroCOVIDhub-baseline,1,6
2,IEM_Health-CovidProject,2,6
2,ILM-EKF,3,6
2,MUNI_DMS-SEIAR,4,6
2,epiforecasts-EpiNow2,5,6
2,RobertWalraven-ESG,6,6
3,EuroCOVIDhub-baseline,1,6
3,IEM_Health-CovidProject,2,6
3,ILM-EKF,3,6
3,MUNI_DMS-SEIAR,4,6
3,MUNI-ARIMA,5,6
3,RobertWalraven-ESG,6,6
4,EuroCOVIDhub-baseline,1,6
4,IEM_Health-CovidProject,2,6
4,ILM-EKF,3,6
4,epiforecasts-EpiNow2,4,6
4,MUNI-ARIMA,5,6
4,RobertWalraven-ESG,6,6
5,EuroCOVIDhub-baseline,1,6
5,IEM_Health-CovidProject,2,6
5,MUNI_DMS-SEIAR,3,6
5,epiforecasts-EpiNow2,4,6
5,MUNI-ARIMA,5,6
5,RobertWalraven-ESG,6,6
6,EuroCOVIDhub-baseline,1,6
6,ILM-EKF,2,6
6,MUNI_DMS-SEIAR,3,6
6,epiforecasts-EpiNow2,4,6
6,MUNI-ARIMA,5,6
6,RobertWalraven-ESG,6,6
7,IEM_Health-CovidProject,1,6
7,ILM-EKF,2,6
7,MUNI_DMS-SEIAR,3,6
7,epiforecasts-EpiNow2,4,6
7,MUNI-ARIMA,5,6
7,RobertWalraven-ESG,6,6
