ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,3
1,IEM_Health-CovidProject,2,3
1,ILM-EKF,3,3
2,EuroCOVIDhub-baseline,1,3
2,IEM_Health-CovidProject,2,3
2,epiforecasts-EpiNow2,3,3
3,EuroCOVIDhub-baseline,1,3
3,IEM_Health-CovidProject,2,3
3,MUNI-ARIMA,3,3
4,EuroCOVIDhub-baseline,1,3
4,IEM_Health-CovidProject,2,3
4,RobertWalraven-ESG,3,3
5,EuroCOVIDhub-baseline,1,3
5,ILM-EKF,2,3
5,epiforecasts-EpiNow2,3,3
6,EuroCOVIDhub-baseline,1,3
6,ILM-EKF,2,3
6,MUNI-ARIMA,3,3
7,EuroCOVIDhub-baseline,1,3
7,ILM-EKF,2,3
7,RobertWalraven-ESG,3,3
8,EuroCOVIDhub-baseline,1,3
8,epiforecasts-EpiNow2,2,3
8,MUNI-ARIMA,3,3
9,EuroCOVIDhub-baseline,1,3
9,epiforecasts-EpiNow2,2,3
9,RobertWalraven-ESG,3,3
10,EuroCOVIDhub-baseline,1,3
10,MUNI-ARIMA,2,3
10,RobertWalraven-ESG,3,3
11,IEM_Health-CovidProject,1,3
11,ILM-EKF,2,3
11,epiforecasts-EpiNow2,3,3
12,IEM_Health-CovidProject,1,3
12,ILM-EKF,2,3
12,MUNI-ARIMA,3,3
13,IEM_Health-CovidProject,1,3
13,ILM-EKF,2,3
13,RobertWalraven-ESG,3,3
14,IEM_Health-CovidProject,1,3
14,epiforecasts-EpiNow2,2,3
14,MUNI-ARIMA,3,3
15,IEM_Health-CovidProject,1,3
15,epiforecasts-EpiNow2,2,3
15,RobertWalraven-ESG,3,3
16,IEM_Health-CovidProject,1,3
16,MUNI-ARIMA,2,3
16,RobertWalraven-ESG,3,3
17,ILM-EKF,1,3
17,epiforecasts-EpiNow2,2,3
17,MUNI-ARIMA,3,3
18,ILM-EKF,1,3
18,epiforecasts-EpiNow2,2,3
18,RobertWalraven-ESG,3,3
19,ILM-EKF,1,3
19,MUNI-ARIMA,2,3
19,RobertWalraven-ESG,3,3
20,epiforecasts-EpiNow2,1,3
20,MUNI-ARIMA,2,3
20,RobertWalraven-ESG,3,3
