ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,8
1,FIAS_FZJ-Epi1Ger,2,8
1,IEM_Health-CovidProject,3,8
1,ILM-EKF,4,8
1,ITWW-county_repro,5,8
1,Karlen-pypm,6,8
1,MIT_CovidAnalytics-DELPHI,7,8
1,UNIPV-BayesINGARCHX,8,8
2,EuroCOVIDhub-baseline,1,8
2,FIAS_FZJ-Epi1Ger,2,8
2,IEM_Health-CovidProject,3,8
2,ILM-EKF,4,8
2,ITWW-county_repro,5,8
2,Karlen-pypm,6,8
2,MIT_CovidAnalytics-DELPHI,7,8
2,epiforecasts-EpiNow2,8,8
3,EuroCOVIDhub-baseline,1,8
3,FIAS_FZJ-Epi1Ger,2,8
3,IEM_Health-CovidProject,3,8
3,ILM-EKF,4,8
3,ITWW-county_repro,5,8
3,Karlen-pypm,6,8
3,MIT_CovidAnalytics-DELPHI,7,8
3,itwm-dSEIR,8,8
4,EuroCOVIDhub-baseline,1,8
4,FIAS_FZJ-Epi1Ger,2,8
4,IEM_Health-CovidProject,3,8
4,ILM-EKF,4,8
4,ITWW-county_repro,5,8
4,Karlen-pypm,6,8
4,MIT_CovidAnalytics-DELPHI,7,8
4,HZI-AgeExtendedSEIR,8,8
5,EuroCOVIDhub-baseline,1,8
5,FIAS_FZJ-Epi1Ger,2,8
5,IEM_Health-CovidProject,3,8
5,ILM-EKF,4,8
5,ITWW-county_repro,5,8
5,Karlen-pypm,6,8
5,MIT_CovidAnalytics-DELPHI,7,8
5,MUNI-ARIMA,8,8
6,EuroCOVIDhub-baseline,1,8
6,FIAS_FZJ-Epi1Ger,2,8
6,IEM_Health-CovidProject,3,8
6,ILM-EKF,4,8
6,ITWW-county_repro,5,8
6,Karlen-pypm,6,8
6,MIT_CovidAnalytics-DELPHI,7,8
6,RobertWalraven-ESG,8,8
8,EuroCOVIDhub-baseline,1,8
8,FIAS_FZJ-Epi1Ger,2,8
8,IEM_Health-CovidProject,3,8
8,ILM-EKF,4,8
8,ITWW-county_repro,5,8
8,Karlen-pypm,6,8
8,UNIPV-BayesINGARCHX,7,8
8,epiforecasts-EpiNow2,8,8
9,EuroCOVIDhub-baseline,1,8
9,FIAS_FZJ-Epi1Ger,2,8
9,IEM_Health-CovidProject,3,8
9,ILM-EKF,4,8
9,ITWW-county_repro,5,8
9,Karlen-pypm,6,8
9,UNIPV-BayesINGARCHX,7,8
9,itwm-dSEIR,8,8
10,EuroCOVIDhub-baseline,1,8
10,FIAS_FZJ-Epi1Ger,2,8
10,IEM_Health-CovidProject,3,8
10,ILM-EKF,4,8
10,ITWW-county_repro,5,8
10,Karlen-pypm,6,8
10,UNIPV-BayesINGARCHX,7,8
10,HZI-AgeExtendedSEIR,8,8
11,EuroCOVIDhub-baseline,1,8
11,FIAS_FZJ-Epi1Ger,2,8
11,IEM_Health-CovidProject,3,8
11,ILM-EKF,4,8
11,ITWW-county_repro,5,8
11,Karlen-pypm,6,8
11,UNIPV-BayesINGARCHX,7,8
11,MUNI-ARIMA,8,8
12,EuroCOVIDhub-baseline,1,8
12,FIAS_FZJ-Epi1Ger,2,8
12,IEM_Health-CovidProject,3,8
12,ILM-EKF,4,8
12,ITWW-county_repro,5,8
12,Karlen-pypm,6,8
12,UNIPV-BayesINGARCHX,7,8
12,RobertWalraven-ESG,8,8
14,EuroCOVIDhub-baseline,1,8
14,FIAS_FZJ-Epi1Ger,2,8
14,IEM_Health-CovidProject,3,8
14,ILM-EKF,4,8
14,ITWW-county_repro,5,8
14,Karlen-pypm,6,8
14,epiforecasts-EpiNow2,7,8
14,itwm-dSEIR,8,8
15,EuroCOVIDhub-baseline,1,8
15,FIAS_FZJ-Epi1Ger,2,8
15,IEM_Health-CovidProject,3,8
15,ILM-EKF,4,8
15,ITWW-county_repro,5,8
15,Karlen-pypm,6,8
15,epiforecasts-EpiNow2,7,8
15,HZI-AgeExtendedSEIR,8,8
19,EuroCOVIDhub-baseline,1,8
19,FIAS_FZJ-Epi1Ger,2,8
19,IEM_Health-CovidProject,3,8
19,ILM-EKF,4,8
19,ITWW-county_repro,5,8
19,Karlen-pypm,6,8
19,itwm-dSEIR,7,8
19,HZI-AgeExtendedSEIR,8,8
20,EuroCOVIDhub-baseline,1,8
20,FIAS_FZJ-Epi1Ger,2,8
20,IEM_Health-CovidProject,3,8
20,ILM-EKF,4,8
20,ITWW-county_repro,5,8
20,Karlen-pypm,6,8
20,itwm-dSEIR,7,8
20,MUNI-ARIMA,8,8
21,EuroCOVIDhub-baseline,1,8
21,FIAS_FZJ-Epi1Ger,2,8
21,IEM_Health-CovidProject,3,8
21,ILM-EKF,4,8
21,ITWW-county_repro,5,8
21,Karlen-pypm,6,8
21,itwm-dSEIR,7,8
21,RobertWalraven-ESG,8,8
22,EuroCOVIDhub-baseline,1,8
22,FIAS_FZJ-Epi1Ger,2,8
22,IEM_Health-CovidProject,3,8
22,ILM-EKF,4,8
22,ITWW-county_repro,5,8
22,Karlen-pypm,6,8
22,itwm-dSEIR,7,8
22,CovidMetrics-epiBATS,8,8
23,EuroCOVIDhub-baseline,1,8
23,FIAS_FZJ-Epi1Ger,2,8
23,IEM_Health-CovidProject,3,8
23,ILM-EKF,4,8
23,ITWW-county_repro,5,8
23,Karlen-pypm,6,8
23,HZI-AgeExtendedSEIR,7,8
23,MUNI-ARIMA,8,8
24,EuroCOVIDhub-baseline,1,8
24,FIAS_FZJ-Epi1Ger,2,8
24,IEM_Health-CovidProject,3,8
24,ILM-EKF,4,8
24,ITWW-county_repro,5,8
24,Karlen-pypm,6,8
24,HZI-AgeExtendedSEIR,7,8
24,RobertWalraven-ESG,8,8
25,EuroCOVIDhub-baseline,1,8
25,FIAS_FZJ-Epi1Ger,2,8
25,IEM_Health-CovidProject,3,8
25,ILM-EKF,4,8
25,ITWW-county_repro,5,8
25,Karlen-pypm,6,8
25,HZI-AgeExtendedSEIR,7,8
25,CovidMetrics-epiBATS,8,8
26,EuroCOVIDhub-baseline,1,8
26,FIAS_FZJ-Epi1Ger,2,8
26,IEM_Health-CovidProject,3,8
26,ILM-EKF,4,8
26,ITWW-county_repro,5,8
26,Karlen-pypm,6,8
26,MUNI-ARIMA,7,8
26,RobertWalraven-ESG,8,8
27,EuroCOVIDhub-baseline,1,8
27,FIAS_FZJ-Epi1Ger,2,8
27,IEM_Health-CovidProject,3,8
27,ILM-EKF,4,8
27,ITWW-county_repro,5,8
27,Karlen-pypm,6,8
27,MUNI-ARIMA,7,8
27,CovidMetrics-epiBATS,8,8
28,EuroCOVIDhub-baseline,1,8
28,FIAS_FZJ-Epi1Ger,2,8
28,IEM_Health-CovidProject,3,8
28,ILM-EKF,4,8
28,ITWW-county_repro,5,8
28,Karlen-pypm,6,8
28,RobertWalraven-ESG,7,8
28,CovidMetrics-epiBATS,8,8
29,EuroCOVIDhub-baseline,1,8
29,FIAS_FZJ-Epi1Ger,2,8
29,IEM_Health-CovidProject,3,8
29,ILM-EKF,4,8
29,ITWW-county_repro,5,8
29,MIT_CovidAnalytics-DELPHI,6,8
29,UNIPV-BayesINGARCHX,7,8
29,epiforecasts-EpiNow2,8,8
30,EuroCOVIDhub-baseline,1,8
30,FIAS_FZJ-Epi1Ger,2,8
30,IEM_Health-CovidProject,3,8
30,ILM-EKF,4,8
30,ITWW-county_repro,5,8
30,MIT_CovidAnalytics-DELPHI,6,8
30,UNIPV-BayesINGARCHX,7,8
30,itwm-dSEIR,8,8
31,EuroCOVIDhub-baseline,1,8
31,FIAS_FZJ-Epi1Ger,2,8
31,IEM_Health-CovidProject,3,8
31,ILM-EKF,4,8
31,ITWW-county_repro,5,8
31,MIT_CovidAnalytics-DELPHI,6,8
31,UNIPV-BayesINGARCHX,7,8
31,HZI-AgeExtendedSEIR,8,8
35,EuroCOVIDhub-baseline,1,8
35,FIAS_FZJ-Epi1Ger,2,8
35,IEM_Health-CovidProject,3,8
35,ILM-EKF,4,8
35,ITWW-county_repro,5,8
35,MIT_CovidAnalytics-DELPHI,6,8
35,epiforecasts-EpiNow2,7,8
35,itwm-dSEIR,8,8
36,EuroCOVIDhub-baseline,1,8
36,FIAS_FZJ-Epi1Ger,2,8
36,IEM_Health-CovidProject,3,8
36,ILM-EKF,4,8
36,ITWW-county_repro,5,8
36,MIT_CovidAnalytics-DELPHI,6,8
36,epiforecasts-EpiNow2,7,8
36,HZI-AgeExtendedSEIR,8,8
38,EuroCOVIDhub-baseline,1,8
38,FIAS_FZJ-Epi1Ger,2,8
38,IEM_Health-CovidProject,3,8
38,ILM-EKF,4,8
38,ITWW-county_repro,5,8
38,MIT_CovidAnalytics-DELPHI,6,8
38,epiforecasts-EpiNow2,7,8
38,RobertWalraven-ESG,8,8
39,EuroCOVIDhub-baseline,1,8
39,FIAS_FZJ-Epi1Ger,2,8
39,IEM_Health-CovidProject,3,8
39,ILM-EKF,4,8
39,ITWW-county_repro,5,8
39,MIT_CovidAnalytics-DELPHI,6,8
39,epiforecasts-EpiNow2,7,8
39,CovidMetrics-epiBATS,8,8
40,EuroCOVIDhub-baseline,1,8
40,FIAS_FZJ-Epi1Ger,2,8
40,IEM_Health-CovidProject,3,8
40,ILM-EKF,4,8
40,ITWW-county_repro,5,8
40,MIT_CovidAnalytics-DELPHI,6,8
40,itwm-dSEIR,7,8
40,HZI-AgeExtendedSEIR,8,8
41,EuroCOVIDhub-baseline,1,8
41,FIAS_FZJ-Epi1Ger,2,8
41,IEM_Health-CovidProject,3,8
41,ILM-EKF,4,8
41,ITWW-county_repro,5,8
41,MIT_CovidAnalytics-DELPHI,6,8
