ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,2
1,IEM_Health-CovidProject,2,2
2,EuroCOVIDhub-baseline,1,2
2,ILM-EKF,2,2
3,EuroCOVIDhub-baseline,1,2
3,MUNI_DMS-SEIAR,2,2
4,EuroCOVIDhub-baseline,1,2
4,epiforecasts-EpiNow2,2,2
5,EuroCOVIDhub-baseline,1,2
5,MUNI-ARIMA,2,2
6,EuroCOVIDhub-baseline,1,2
6,RobertWalraven-ESG,2,2
7,IEM_Health-CovidProject,1,2
7,ILM-EKF,2,2
8,IEM_Health-CovidProject,1,2
8,MUNI_DMS-SEIAR,2,2
9,IEM_Health-CovidProject,1,2
9,epiforecasts-EpiNow2,2,2
10,IEM_Health-CovidProject,1,2
10,MUNI-ARIMA,2,2
11,IEM_Health-CovidProject,1,2
11,RobertWalraven-ESG,2,2
12,ILM-EKF,1,2
12,MUNI_DMS-SEIAR,2,2
13,ILM-EKF,1,2
13,epiforecasts-EpiNow2,2,2
14,ILM-EKF,1,2
14,MUNI-ARIMA,2,2
15,ILM-EKF,1,2
15,RobertWalraven-ESG,2,2
16,MUNI_DMS-SEIAR,1,2
16,epiforecasts-EpiNow2,2,2
17,MUNI_DMS-SEIAR,1,2
17,MUNI-ARIMA,2,2
18,MUNI_DMS-SEIAR,1,2
18,RobertWalraven-ESG,2,2
19,epiforecasts-EpiNow2,1,2
19,MUNI-ARIMA,2,2
20,epiforecasts-EpiNow2,1,2
20,RobertWalraven-ESG,2,2
21,MUNI-ARIMA,1,2
21,RobertWalraven-ESG,2,2
