ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,6
1,ICM-agentModel,2,6
1,IEM_Health-CovidProject,3,6
1,ILM-EKF,4,6
1,ITWW-county_repro,5,6
1,MIT_CovidAnalytics-DELPHI,6,6
2,EuroCOVIDhub-baseline,1,6
2,ICM-agentModel,2,6
2,IEM_Health-CovidProject,3,6
2,ILM-EKF,4,6
2,ITWW-county_repro,5,6
2,MOCOS-agent1,6,6
3,EuroCOVIDhub-baseline,1,6
3,ICM-agentModel,2,6
3,IEM_Health-CovidProject,3,6
3,ILM-EKF,4,6
3,ITWW-county_repro,5,6
3,RobertWalraven-ESG,6,6
4,EuroCOVIDhub-baseline,1,6
4,ICM-agentModel,2,6
4,IEM_Health-CovidProject,3,6
4,ILM-EKF,4,6
4,ITWW-county_repro,5,6
4,epiforecasts-EpiNow2,6,6
5,EuroCOVIDhub-baseline,1,6
5,ICM-agentModel,2,6
5,IEM_Health-CovidProject,3,6
5,ILM-EKF,4,6
5,ITWW-county_repro,5,6
5,UMass-MechBayes,6,6
6,EuroCOVIDhub-baseline,1,6
6,ICM-agentModel,2,6
6,IEM_Health-CovidProject,3,6
6,ILM-EKF,4,6
6,ITWW-county_repro,5,6
6,MUNI-ARIMA,6,6
7,EuroCOVIDhub-baseline,1,6
7,ICM-agentModel,2,6
7,IEM_Health-CovidProject,3,6
7,ILM-EKF,4,6
7,MIT_CovidAnalytics-DELPHI,5,6
7,MOCOS-agent1,6,6
8,EuroCOVIDhub-baseline,1,6
8,ICM-agentModel,2,6
8,IEM_Health-CovidProject,3,6
8,ILM-EKF,4,6
8,MIT_CovidAnalytics-DELPHI,5,6
8,RobertWalraven-ESG,6,6
9,EuroCOVIDhub-baseline,1,6
9,ICM-agentModel,2,6
9,IEM_Health-CovidProject,3,6
9,ILM-EKF,4,6
9,MIT_CovidAnalytics-DELPHI,5,6
9,epiforecasts-EpiNow2,6,6
10,EuroCOVIDhub-baseline,1,6
10,ICM-agentModel,2,6
10,IEM_Health-CovidProject,3,6
10,ILM-EKF,4,6
10,MIT_CovidAnalytics-DELPHI,5,6
10,UMass-MechBayes,6,6
11,EuroCOVIDhub-baseline,1,6
11,ICM-agentModel,2,6
11,IEM_Health-CovidProject,3,6
11,ILM-EKF,4,6
11,MIT_CovidAnalytics-DELPHI,5,6
11,MUNI-ARIMA,6,6
12,EuroCOVIDhub-baseline,1,6
12,ICM-agentModel,2,6
12,IEM_Health-CovidProject,3,6
12,ILM-EKF,4,6
12,MOCOS-agent1,5,6
12,RobertWalraven-ESG,6,6
13,EuroCOVIDhub-baseline,1,6
13,ICM-agentModel,2,6
13,IEM_Health-CovidProject,3,6
13,ILM-EKF,4,6
13,MOCOS-agent1,5,6
13,epiforecasts-EpiNow2,6,6
14,EuroCOVIDhub-baseline,1,6
14,ICM-agentModel,2,6
14,IEM_Health-CovidProject,3,6
14,ILM-EKF,4,6
14,MOCOS-agent1,5,6
14,UMass-MechBayes,6,6
15,EuroCOVIDhub-baseline,1,6
15,ICM-agentModel,2,6
15,IEM_Health-CovidProject,3,6
15,ILM-EKF,4,6
15,MOCOS-agent1,5,6
15,MUNI-ARIMA,6,6
16,EuroCOVIDhub-baseline,1,6
16,ICM-agentModel,2,6
16,IEM_Health-CovidProject,3,6
16,ILM-EKF,4,6
16,RobertWalraven-ESG,5,6
16,epiforecasts-EpiNow2,6,6
17,EuroCOVIDhub-baseline,1,6
17,ICM-agentModel,2,6
17,IEM_Health-CovidProject,3,6
17,ILM-EKF,4,6
17,RobertWalraven-ESG,5,6
17,UMass-MechBayes,6,6
18,EuroCOVIDhub-baseline,1,6
18,ICM-agentModel,2,6
18,IEM_Health-CovidProject,3,6
18,ILM-EKF,4,6
18,RobertWalraven-ESG,5,6
18,MUNI-ARIMA,6,6
19,EuroCOVIDhub-baseline,1,6
19,ICM-agentModel,2,6
19,IEM_Health-CovidProject,3,6
19,ILM-EKF,4,6
19,epiforecasts-EpiNow2,5,6
19,UMass-MechBayes,6,6
20,EuroCOVIDhub-baseline,1,6
20,ICM-agentModel,2,6
20,IEM_Health-CovidProject,3,6
20,ILM-EKF,4,6
20,epiforecasts-EpiNow2,5,6
20,MUNI-ARIMA,6,6
21,EuroCOVIDhub-baseline,1,6
21,ICM-agentModel,2,6
21,IEM_Health-CovidProject,3,6
21,ILM-EKF,4,6
21,UMass-MechBayes,5,6
21,MUNI-ARIMA,6,6
22,EuroCOVIDhub-baseline,1,6
22,ICM-agentModel,2,6
22,IEM_Health-CovidProject,3,6
22,ITWW-county_repro,4,6
22,MIT_CovidAnalytics-DELPHI,5,6
22,MOCOS-agent1,6,6
23,EuroCOVIDhub-baseline,1,6
23,ICM-agentModel,2,6
23,IEM_Health-CovidProject,3,6
23,ITWW-county_repro,4,6
23,MIT_CovidAnalytics-DELPHI,5,6
23,RobertWalraven-ESG,6,6
24,EuroCOVIDhub-baseline,1,6
24,ICM-agentModel,2,6
24,IEM_Health-CovidProject,3,6
24,ITWW-county_repro,4,6
24,MIT_CovidAnalytics-DELPHI,5,6
24,epiforecasts-EpiNow2,6,6
25,EuroCOVIDhub-baseline,1,6
25,ICM-agentModel,2,6
25,IEM_Health-CovidProject,3,6
25,ITWW-county_repro,4,6
25,MIT_CovidAnalytics-DELPHI,5,6
25,UMass-MechBayes,6,6
26,EuroCOVIDhub-baseline,1,6
26,ICM-agentModel,2,6
26,IEM_Health-CovidProject,3,6
26,ITWW-county_repro,4,6
26,MIT_CovidAnalytics-DELPHI,5,6
26,MUNI-ARIMA,6,6
27,EuroCOVIDhub-baseline,1,6
27,ICM-agentModel,2,6
27,IEM_Health-CovidProject,3,6
27,ITWW-county_repro,4,6
27,MOCOS-agent1,5,6
27,RobertWalraven-ESG,6,6
28,EuroCOVIDhub-baseline,1,6
28,ICM-agentModel,2,6
28,IEM_Health-CovidProject,3,6
28,ITWW-county_repro,4,6
28,MOCOS-agent1,5,6
28,epiforecasts-EpiNow2,6,6
29,EuroCOVIDhub-baseline,1,6
29,ICM-agentModel,2,6
29,IEM_Health-CovidProject,3,6
29,ITWW-county_repro,4,6
29,MOCOS-agent1,5,6
29,UMass-MechBayes,6,6
30,EuroCOVIDhub-baseline,1,6
30,ICM-agentModel,2,6
30,IEM_Health-CovidProject,3,6
30,ITWW-county_repro,4,6
30,MOCOS-agent1,5,6
30,MUNI-ARIMA,6,6
31,EuroCOVIDhub-baseline,1,6
31,ICM-agentModel,2,6
31,IEM_Health-CovidProject,3,6
31,ITWW-county_repro,4,6
31,RobertWalraven-ESG,5,6
31,epiforecasts-EpiNow2,6,6
32,EuroCOVIDhub-baseline,1,6
32,ICM-agentModel,2,6
32,IEM_Health-CovidProject,3,6
32,ITWW-county_repro,4,6
32,RobertWalraven-ESG,5,6
32,UMass-MechBayes,6,6
33,EuroCOVIDhub-baseline,1,6
33,ICM-agentModel,2,6
