ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,11
1,FIAS_FZJ-Epi1Ger,2,11
1,IEM_Health-CovidProject,3,11
1,ILM-EKF,4,11
1,ITWW-county_repro,5,11
1,Karlen-pypm,6,11
1,MIT_CovidAnalytics-DELPHI,7,11
1,UNIPV-BayesINGARCHX,8,11
1,epiforecasts-EpiNow2,9,11
1,itwm-dSEIR,10,11
1,HZI-AgeExtendedSEIR,11,11
2,EuroCOVIDhub-baseline,1,11
2,FIAS_FZJ-Epi1Ger,2,11
2,IEM_Health-CovidProject,3,11
2,ILM-EKF,4,11
2,ITWW-county_repro,5,11
2,Karlen-pypm,6,11
2,MIT_CovidAnalytics-DELPHI,7,11
2,UNIPV-BayesINGARCHX,8,11
2,epiforecasts-EpiNow2,9,11
2,itwm-dSEIR,10,11
2,MUNI-ARIMA,11,11
3,EuroCOVIDhub-baseline,1,11
3,FIAS_FZJ-Epi1Ger,2,11
3,IEM_Health-CovidProject,3,11
3,ILM-EKF,4,11
3,ITWW-county_repro,5,11
3,Karlen-pypm,6,11
3,MIT_CovidAnalytics-DELPHI,7,11
3,UNIPV-BayesINGARCHX,8,11
3,epiforecasts-EpiNow2,9,11
3,itwm-dSEIR,10,11
3,RobertWalraven-ESG,11,11
4,EuroCOVIDhub-baseline,1,11
4,FIAS_FZJ-Epi1Ger,2,11
4,IEM_Health-CovidProject,3,11
4,ILM-EKF,4,11
4,ITWW-county_repro,5,11
4,Karlen-pypm,6,11
4,MIT_CovidAnalytics-DELPHI,7,11
4,UNIPV-BayesINGARCHX,8,11
4,epiforecasts-EpiNow2,9,11
4,itwm-dSEIR,10,11
4,CovidMetrics-epiBATS,11,11
5,EuroCOVIDhub-baseline,1,11
5,FIAS_FZJ-Epi1Ger,2,11
5,IEM_Health-CovidProject,3,11
5,ILM-EKF,4,11
5,ITWW-county_repro,5,11
5,Karlen-pypm,6,11
5,MIT_CovidAnalytics-DELPHI,7,11
5,UNIPV-BayesINGARCHX,8,11
5,epiforecasts-EpiNow2,9,11
5,HZI-AgeExtendedSEIR,10,11
5,MUNI-ARIMA,11,11
6,EuroCOVIDhub-baseline,1,11
6,FIAS_FZJ-Epi1Ger,2,11
6,IEM_Health-CovidProject,3,11
6,ILM-EKF,4,11
6,ITWW-county_repro,5,11
6,Karlen-pypm,6,11
6,MIT_CovidAnalytics-DELPHI,7,11
6,UNIPV-BayesINGARCHX,8,11
6,epiforecasts-EpiNow2,9,11
6,HZI-AgeExtendedSEIR,10,11
6,RobertWalraven-ESG,11,11
7,EuroCOVIDhub-baseline,1,11
7,FIAS_FZJ-Epi1Ger,2,11
7,IEM_Health-CovidProject,3,11
7,ILM-EKF,4,11
7,ITWW-county_repro,5,11
7,Karlen-pypm,6,11
7,MIT_CovidAnalytics-DELPHI,7,11
7,UNIPV-BayesINGARCHX,8,11
7,epiforecasts-EpiNow2,9,11
7,HZI-AgeExtendedSEIR,10,11
7,CovidMetrics-epiBATS,11,11
8,EuroCOVIDhub-baseline,1,11
8,FIAS_FZJ-Epi1Ger,2,11
8,IEM_Health-CovidProject,3,11
8,ILM-EKF,4,11
8,ITWW-county_repro,5,11
8,Karlen-pypm,6,11
8,MIT_CovidAnalytics-DELPHI,7,11
8,UNIPV-BayesINGARCHX,8,11
8,epiforecasts-EpiNow2,9,11
8,MUNI-ARIMA,10,11
8,RobertWalraven-ESG,11,11
9,EuroCOVIDhub-baseline,1,11
9,FIAS_FZJ-Epi1Ger,2,11
9,IEM_Health-CovidProject,3,11
9,ILM-EKF,4,11
9,ITWW-county_repro,5,11
9,Karlen-pypm,6,11
9,MIT_CovidAnalytics-DELPHI,7,11
9,UNIPV-BayesINGARCHX,8,11
9,epiforecasts-EpiNow2,9,11
9,MUNI-ARIMA,10,11
9,CovidMetrics-epiBATS,11,11
10,EuroCOVIDhub-baseline,1,11
10,FIAS_FZJ-Epi1Ger,2,11
10,IEM_Health-CovidProject,3,11
10,ILM-EKF,4,11
10,ITWW-county_repro,5,11
10,Karlen-pypm,6,11
10,MIT_CovidAnalytics-DELPHI,7,11
10,UNIPV-BayesINGARCHX,8,11
10,epiforecasts-EpiNow2,9,11
10,RobertWalraven-ESG,10,11
10,CovidMetrics-epiBATS,11,11
11,EuroCOVIDhub-baseline,1,11
11,FIAS_FZJ-Epi1Ger,2,11
11,IEM_Health-CovidProject,3,11
11,ILM-EKF,4,11
11,ITWW-county_repro,5,11
11,Karlen-pypm,6,11
11,MIT_CovidAnalytics-DELPHI,7,11
11,UNIPV-BayesINGARCHX,8,11
11,itwm-dSEIR,9,11
11,HZI-AgeExtendedSEIR,10,11
11,MUNI-ARIMA,11,11
12,EuroCOVIDhub-baseline,1,11
12,FIAS_FZJ-Epi1Ger,2,11
12,IEM_Health-CovidProject,3,11
12,ILM-EKF,4,11
12,ITWW-county_repro,5,11
12,Karlen-pypm,6,11
12,MIT_CovidAnalytics-DELPHI,7,11
12,UNIPV-BayesINGARCHX,8,11
12,itwm-dSEIR,9,11
12,HZI-AgeExtendedSEIR,10,11
12,RobertWalraven-ESG,11,11
13,EuroCOVIDhub-baseline,1,11
13,FIAS_FZJ-Epi1Ger,2,11
13,IEM_Health-CovidProject,3,11
13,ILM-EKF,4,11
13,ITWW-county_repro,5,11
13,Karlen-pypm,6,11
13,MIT_CovidAnalytics-DELPHI,7,11
13,UNIPV-BayesINGARCHX,8,11
13,itwm-dSEIR,9,11
13,HZI-AgeExtendedSEIR,10,11
13,CovidMetrics-epiBATS,11,11
14,EuroCOVIDhub-baseline,1,11
14,FIAS_FZJ-Epi1Ger,2,11
14,IEM_Health-CovidProject,3,11
14,ILM-EKF,4,11
14,ITWW-county_repro,5,11
14,Karlen-pypm,6,11
14,MIT_CovidAnalytics-DELPHI,7,11
14,UNIPV-BayesINGARCHX,8,11
14,itwm-dSEIR,9,11
14,MUNI-ARIMA,10,11
14,RobertWalraven-ESG,11,11
15,EuroCOVIDhub-baseline,1,11
15,FIAS_FZJ-Epi1Ger,2,11
15,IEM_Health-CovidProject,3,11
