ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,6
1,IEM_Health-CovidProject,2,6
1,ILM-EKF,3,6
1,MUNI_DMS-SEIAR,4,6
1,RobertWalraven-ESG,5,6
1,epiforecasts-EpiNow2,6,6
2,EuroCOVIDhub-baseline,1,6
2,IEM_Health-CovidProject,2,6
2,ILM-EKF,3,6
2,MUNI_DMS-SEIAR,4,6
2,RobertWalraven-ESG,5,6
2,UMass-MechBayes,6,6
3,EuroCOVIDhub-baseline,1,6
3,IEM_Health-CovidProject,2,6
3,ILM-EKF,3,6
3,MUNI_DMS-SEIAR,4,6
3,RobertWalraven-ESG,5,6
3,MUNI-ARIMA,6,6
6,EuroCOVIDhub-baseline,1,6
6,IEM_Health-CovidProject,2,6
6,ILM-EKF,3,6
6,MUNI_DMS-SEIAR,4,6
6,UMass-MechBayes,5,6
6,MUNI-ARIMA,6,6
7,EuroCOVIDhub-baseline,1,6
7,IEM_Health-CovidProject,2,6
7,ILM-EKF,3,6
7,RobertWalraven-ESG,4,6
7,epiforecasts-EpiNow2,5,6
7,UMass-MechBayes,6,6
9,EuroCOVIDhub-baseline,1,6
9,IEM_Health-CovidProject,2,6
9,ILM-EKF,3,6
9,RobertWalraven-ESG,4,6
9,UMass-MechBayes,5,6
9,MUNI-ARIMA,6,6
11,EuroCOVIDhub-baseline,1,6
11,IEM_Health-CovidProject,2,6
11,MUNI_DMS-SEIAR,3,6
11,RobertWalraven-ESG,4,6
11,epiforecasts-EpiNow2,5,6
11,UMass-MechBayes,6,6
13,EuroCOVIDhub-baseline,1,6
13,IEM_Health-CovidProject,2,6
13,MUNI_DMS-SEIAR,3,6
13,RobertWalraven-ESG,4,6
13,UMass-MechBayes,5,6
13,MUNI-ARIMA,6,6
18,EuroCOVIDhub-baseline,1,6
18,ILM-EKF,2,6
18,MUNI_DMS-SEIAR,3,6
18,RobertWalraven-ESG,4,6
18,UMass-MechBayes,5,6
18,MUNI-ARIMA,6,6
24,IEM_Health-CovidProject,1,6
24,ILM-EKF,2,6
24,MUNI_DMS-SEIAR,3,6
24,RobertWalraven-ESG,4,6
24,UMass-MechBayes,5,6
24,MUNI-ARIMA,6,6
