ensid,model,modelid,k
5,EuroCOVIDhub-baseline,1,12
5,FIAS_FZJ-Epi1Ger,2,12
5,IEM_Health-CovidProject,3,12
5,ILM-EKF,4,12
5,ITWW-county_repro,5,12
5,Karlen-pypm,6,12
5,MIT_CovidAnalytics-DELPHI,7,12
5,RobertWalraven-ESG,8,12
5,itwm-dSEIR,9,12
5,UMass-MechBayes,10,12
5,HZI-AgeExtendedSEIR,11,12
5,MUNI-ARIMA,12,12
8,EuroCOVIDhub-baseline,1,12
8,FIAS_FZJ-Epi1Ger,2,12
8,IEM_Health-CovidProject,3,12
8,ILM-EKF,4,12
8,ITWW-county_repro,5,12
8,MIT_CovidAnalytics-DELPHI,6,12
8,RobertWalraven-ESG,7,12
8,epiforecasts-EpiNow2,8,12
8,itwm-dSEIR,9,12
8,UMass-MechBayes,10,12
8,HZI-AgeExtendedSEIR,11,12
8,MUNI-ARIMA,12,12
