ensid,model,modelid,k
1,EuroCOVIDhub-baseline,1,5
1,FIAS_FZJ-Epi1Ger,2,5
1,IEM_Health-CovidProject,3,5
1,ILM-EKF,4,5
1,ITWW-county_repro,5,5
2,EuroCOVIDhub-baseline,1,5
2,FIAS_FZJ-Epi1Ger,2,5
2,IEM_Health-CovidProject,3,5
2,ILM-EKF,4,5
2,Karlen-pypm,5,5
3,EuroCOVIDhub-baseline,1,5
3,FIAS_FZJ-Epi1Ger,2,5
3,IEM_Health-CovidProject,3,5
3,ILM-EKF,4,5
3,MIT_CovidAnalytics-DELPHI,5,5
4,EuroCOVIDhub-baseline,1,5
4,FIAS_FZJ-Epi1Ger,2,5
4,IEM_Health-CovidProject,3,5
4,ILM-EKF,4,5
4,RobertWalraven-ESG,5,5
5,EuroCOVIDhub-baseline,1,5
5,FIAS_FZJ-Epi1Ger,2,5
5,IEM_Health-CovidProject,3,5
5,ILM-EKF,4,5
5,epiforecasts-EpiNow2,5,5
6,EuroCOVIDhub-baseline,1,5
6,FIAS_FZJ-Epi1Ger,2,5
6,IEM_Health-CovidProject,3,5
6,ILM-EKF,4,5
6,itwm-dSEIR,5,5
7,EuroCOVIDhub-baseline,1,5
7,FIAS_FZJ-Epi1Ger,2,5
7,IEM_Health-CovidProject,3,5
7,ILM-EKF,4,5
7,UMass-MechBayes,5,5
8,EuroCOVIDhub-baseline,1,5
8,FIAS_FZJ-Epi1Ger,2,5
8,IEM_Health-CovidProject,3,5
8,ILM-EKF,4,5
8,HZI-AgeExtendedSEIR,5,5
9,EuroCOVIDhub-baseline,1,5
9,FIAS_FZJ-Epi1Ger,2,5
9,IEM_Health-CovidProject,3,5
9,ILM-EKF,4,5
9,MUNI-ARIMA,5,5
10,EuroCOVIDhub-baseline,1,5
10,FIAS_FZJ-Epi1Ger,2,5
10,IEM_Health-CovidProject,3,5
10,ITWW-county_repro,4,5
10,Karlen-pypm,5,5
11,EuroCOVIDhub-baseline,1,5
11,FIAS_FZJ-Epi1Ger,2,5
11,IEM_Health-CovidProject,3,5
11,ITWW-county_repro,4,5
11,MIT_CovidAnalytics-DELPHI,5,5
12,EuroCOVIDhub-baseline,1,5
12,FIAS_FZJ-Epi1Ger,2,5
12,IEM_Health-CovidProject,3,5
12,ITWW-county_repro,4,5
12,RobertWalraven-ESG,5,5
13,EuroCOVIDhub-baseline,1,5
13,FIAS_FZJ-Epi1Ger,2,5
13,IEM_Health-CovidProject,3,5
13,ITWW-county_repro,4,5
13,epiforecasts-EpiNow2,5,5
14,EuroCOVIDhub-baseline,1,5
14,FIAS_FZJ-Epi1Ger,2,5
14,IEM_Health-CovidProject,3,5
