model,location,target_type,weights,forecast_date,nmod
DSMPG-bayes,CZ,Cases,0.292444393704809,2021-04-12,3
FIAS_FZJ-Epi1Ger,DE,Cases,0.385457400409317,2021-04-12,3
IEM_Health-CovidProject,CZ,Deaths,0.190941556594064,2021-04-12,3
IEM_Health-CovidProject,DE,Cases,0.290863456790925,2021-04-12,3
IEM_Health-CovidProject,FR,Cases,0.284809182858987,2021-04-12,3
IEM_Health-CovidProject,FR,Deaths,0.329836758147265,2021-04-12,3
IEM_Health-CovidProject,GB,Cases,0.29467206491091,2021-04-12,3
IEM_Health-CovidProject,GB,Deaths,0.196142064103112,2021-04-12,3
ILM-EKF,CZ,Cases,0.353762094073453,2021-04-12,3
ILM-EKF,CZ,Deaths,0.336365968200311,2021-04-12,3
ILM-EKF,FR,Deaths,0.333185814090599,2021-04-12,3
ILM-EKF,GB,Cases,0.299112811720399,2021-04-12,3
ILM-EKF,GB,Deaths,0.408955845406755,2021-04-12,3
ITWW-county_repro,DE,Deaths,0.301620328345725,2021-04-12,3
MIMUW-StochSEIR,PL,Cases,0.252695087670628,2021-04-12,3
MIMUW-StochSEIR,PL,Deaths,0.243058113090941,2021-04-12,3
MOCOS-agent1,PL,Cases,0.502084360630113,2021-04-12,3
MOCOS-agent1,PL,Deaths,0.39106126992524,2021-04-12,3
MUNI_DMS-SEIAR,CZ,Cases,0.353793512221738,2021-04-12,3
RobertWalraven-ESG,FR,Deaths,0.336977427762137,2021-04-12,3
epiforecasts-EpiExpert,DE,Cases,0.323679142799758,2021-04-12,3
epiforecasts-EpiExpert,DE,Deaths,0.423534510871121,2021-04-12,3
epiforecasts-EpiExpert,FR,Cases,0.390644558244767,2021-04-12,3
epiforecasts-EpiExpert,GB,Deaths,0.394902090490133,2021-04-12,3
epiforecasts-EpiExpert,PL,Cases,0.245220551699259,2021-04-12,3
epiforecasts-EpiExpert,PL,Deaths,0.365880616983819,2021-04-12,3
epiforecasts-EpiNow2,CZ,Deaths,0.472692475205624,2021-04-12,3
epiforecasts-EpiNow2,FR,Cases,0.324546258896247,2021-04-12,3
epiforecasts-EpiNow2,GB,Cases,0.40621512336869,2021-04-12,3
itwm-dSEIR,DE,Deaths,0.274845160783155,2021-04-12,3
DSMPG-bayes,CZ,Cases,0.358502904634287,2021-04-19,3
DSMPG-bayes,PL,Cases,0.164708856292653,2021-04-19,3
FIAS_FZJ-Epi1Ger,DE,Cases,0.367645955034618,2021-04-19,3
IEM_Health-CovidProject,DE,Cases,0.327210214132266,2021-04-19,3
IEM_Health-CovidProject,FR,Deaths,0.301148123711234,2021-04-19,3
IEM_Health-CovidProject,GB,Cases,0.365471156149884,2021-04-19,3
ILM-EKF,CZ,Cases,0.364129209614236,2021-04-19,3
ILM-EKF,GB,Cases,0.276411579233888,2021-04-19,3
ILM-EKF,GB,Deaths,0.421165024284436,2021-04-19,3
Karlen-pypm,DE,Deaths,0.331062062001326,2021-04-19,3
MIMUW-StochSEIR,PL,Deaths,0.236576395468299,2021-04-19,3
MOCOS-agent1,PL,Cases,0.617748213677838,2021-04-19,3
MOCOS-agent1,PL,Deaths,0.391123389966508,2021-04-19,3
MUNI_DMS-SEIAR,CZ,Cases,0.277367885751478,2021-04-19,3
RobertWalraven-ESG,FR,Deaths,0.422056387870435,2021-04-19,3
UMass-MechBayes,CZ,Deaths,0.300374180413403,2021-04-19,3
UMass-MechBayes,FR,Deaths,0.276795488418331,2021-04-19,3
UMass-MechBayes,GB,Deaths,0.256493819700129,2021-04-19,3
UMass-SemiMech,CZ,Deaths,0.330062822418352,2021-04-19,3
UMass-SemiMech,FR,Cases,0.288232282147422,2021-04-19,3
UNIPV-BayesINGARCHX,FR,Cases,0.339586766669367,2021-04-19,3
epiforecasts-EpiExpert,DE,Cases,0.305143830833116,2021-04-19,3
